source,area_code,source_file,district_city,province,num_addresses,top_district_candidates,top_province_candidates
shopee,21,D21.csv,Tp. Long Xuyên,An Giang,3,Tp. Long Xuyên (3),An Giang (3)
shopee,22,D22.csv,Tp. Long Xuyên,An Giang,1,Tp. Long Xuyên (1),An Giang (1)
shopee,23,D23.csv,Tp. Biên Hòa,Đồng Nai,15,Tp. Biên Hòa (15),Đồng Nai (15)
shopee,24,D24.csv,Tp. Biên Hòa,Đồng Nai,5,Tp. Biên Hòa (5),Đồng Nai (5)
shopee,25,D25.csv,Tp. Biên Hòa,Đồng Nai,19,Tp. Biên Hòa (19),Đồng Nai (19)
shopee,26,D26.csv,Tp. Biên Hòa,Đồng Nai,8,Tp. Biên Hòa (8),Đồng Nai (8)
shopee,27,D27.csv,Tp. Biên Hòa,Đồng Nai,7,Tp. Biên Hòa (7),Đồng Nai (7)
shopee,28,D28.csv,Tp. Biên Hòa,Đồng Nai,8,Tp. Biên Hòa (8),Đồng Nai (8)
shopee,29,D29.csv,Tp. Biên Hòa,Đồng Nai,9,Tp. Biên Hòa (9),Đồng Nai (9)
shopee,3,D3.csv,Quận 1,TP. HCM,199,Quận 1 (31) | Bình Thạnh (26) | Quận 3 (23),TP. HCM (199)
shopee,30,D30.csv,Tp. Biên Hòa,Đồng Nai,23,Tp. Biên Hòa (23),Đồng Nai (23)
shopee,31,D31.csv,Tp. Biên Hòa,Đồng Nai,11,Tp. Biên Hòa (10) | Long Thành (1),Đồng Nai (11)
shopee,32,D32.csv,Tp. Biên Hòa,Đồng Nai,11,Tp. Biên Hòa (11),Đồng Nai (11)
shopee,33,D33.csv,Thị xã Đồng Xoài,Bình Phước,1,Thị xã Đồng Xoài (1),Bình Phước (1)
shopee,34,D34.csv,Thị xã Đồng Xoài,Bình Phước,1,Thị xã Đồng Xoài (1),Bình Phước (1)
shopee,35,D35.csv,Thị xã Bạc Liêu,Bạc Liêu,4,Thị xã Bạc Liêu (4),Bạc Liêu (4)
shopee,36,D36.csv,Tp. Bến Tre,Bến Tre,2,Tp. Bến Tre (2),Bến Tre (2)
shopee,37,D37.csv,Tp. Cà Mau,Cà Mau,1,Tp. Cà Mau (1),Cà Mau (1)
shopee,38,D38.csv,Dĩ An,Bình Dương,5,Dĩ An (4) | Thị xã Thủ Dầu Một (1),Bình Dương (5)
shopee,39,D39.csv,Thị xã Thủ Dầu Một,Bình Dương,13,Thị xã Thủ Dầu Một (8) | Dĩ An (3) | Bến Cát (1),Bình Dương (13)
shopee,4,D4.csv,Thành Phố Thủ Đức,TP. HCM,156,Thành Phố Thủ Đức (26) | Quận 7 (19) | Quận 1 (13),TP. HCM (156)
shopee,40,D40.csv,Thị xã Thủ Dầu Một,Bình Dương,5,Thị xã Thủ Dầu Một (5),Bình Dương (5)
shopee,41,D41.csv,Thị xã Thủ Dầu Một,Bình Dương,7,Thị xã Thủ Dầu Một (6) | Thuận An (1),Bình Dương (7)
shopee,42,D42.csv,Thị xã Thủ Dầu Một,Bình Dương,9,Thị xã Thủ Dầu Một (7) | Bến Cát (1) | Dĩ An (1),Bình Dương (9)
shopee,43,D43.csv,Thị xã Thủ Dầu Một,Bình Dương,17,Thị xã Thủ Dầu Một (10) | Thuận An (4) | Dĩ An (2),Bình Dương (17)
shopee,44,D44.csv,Thị xã Thủ Dầu Một,Bình Dương,15,Thị xã Thủ Dầu Một (7) | Thuận An (5) | Tân Uyên (1),Bình Dương (15)
shopee,45,D45.csv,Thị xã Thủ Dầu Một,Bình Dương,11,Thị xã Thủ Dầu Một (8) | Dĩ An (2) | Thuận An (1),Bình Dương (11)
shopee,46,D46.csv,Tp. Vũng Tàu,Vũng Tàu,2,Tp. Vũng Tàu (2),Vũng Tàu (2)
shopee,47,D47.csv,Tp. Vũng Tàu,Vũng Tàu,2,Tp. Vũng Tàu (2),Vũng Tàu (2)
shopee,48,D48.csv,Tp. Vũng Tàu,Vũng Tàu,4,Tp. Vũng Tàu (3) | Tp. Bà Rịa (1),Vũng Tàu (4)
shopee,49,D49.csv,Tp. Vũng Tàu,Vũng Tàu,1,Tp. Vũng Tàu (1),Vũng Tàu (1)
shopee,5,D5.csv,Bình Tân,TP. HCM,200,Bình Tân (22) | Quận 1 (20) | Bình Thạnh (20),TP. HCM (200)
shopee,50,D50.csv,Tp. Vũng Tàu,Vũng Tàu,11,Tp. Vũng Tàu (11),Vũng Tàu (11)
shopee,51,D51.csv,Tp. Vũng Tàu,Vũng Tàu,4,Tp. Vũng Tàu (4),Vũng Tàu (4)
shopee,52,D52.csv,Tp. Vũng Tàu,Vũng Tàu,7,Tp. Vũng Tàu (7),Vũng Tàu (7)
shopee,53,D53.csv,Tp. Vũng Tàu,Vũng Tàu,7,Tp. Vũng Tàu (6) | Tp. Bà Rịa (1),Vũng Tàu (7)
shopee,54,D54.csv,Tp. Vũng Tàu,Vũng Tàu,6,Tp. Vũng Tàu (6),Vũng Tàu (6)
shopee,55,D55.csv,Bình Thạnh,TP. HCM,194,Bình Thạnh (23) | Gò Vấp (21) | Thành Phố Thủ Đức (20),TP. HCM (194)
shopee,56,D56.csv,Tân Bình,TP. HCM,134,Tân Bình (21) | Bình Thạnh (15) | Gò Vấp (13),TP. HCM (134)
shopee,57,D57.csv,Tp. Biên Hòa,Đồng Nai,5,Tp. Biên Hòa (5),Đồng Nai (5)
shopee,58,D58.csv,Tp. Biên Hòa,Đồng Nai,11,Tp. Biên Hòa (11),Đồng Nai (11)
shopee,59,D59.csv,Tp. Biên Hòa,Đồng Nai,10,Tp. Biên Hòa (10),Đồng Nai (10)
shopee,6,D6.csv,Thành Phố Thủ Đức,TP. HCM,149,Thành Phố Thủ Đức (25) | Gò Vấp (19) | Tân Phú (18),TP. HCM (149)
shopee,63,D63.csv,Quận Ninh Kiều,Cần Thơ,3,Quận Ninh Kiều (3),Cần Thơ (3)
shopee,64,D64.csv,Quận Ninh Kiều,Cần Thơ,2,Quận Ninh Kiều (2),Cần Thơ (2)
shopee,65,D65.csv,Quận Ninh Kiều,Cần Thơ,7,Quận Ninh Kiều (5) | Quận Cái Răng (1) | Quận Bình Thủy (1),Cần Thơ (7)
shopee,66,D66.csv,Tp. Biên Hòa,Đồng Nai,12,Tp. Biên Hòa (12),Đồng Nai (12)
shopee,67,D67.csv,Dĩ An,Bình Dương,3,Dĩ An (1) | Thị xã Thủ Dầu Một (1) | Thuận An (1),Bình Dương (3)
shopee,68,D68.csv,Thị xã Thủ Dầu Một,Bình Dương,6,Thị xã Thủ Dầu Một (2) | Dĩ An (2) | Thuận An (2),Bình Dương (6)
shopee,69,D69.csv,Thị xã Thủ Dầu Một,Bình Dương,1,Thị xã Thủ Dầu Một (1),Bình Dương (1)
shopee,7,D7.csv,Bình Thạnh,TP. HCM,80,Bình Thạnh (8) | Quận 10 (7) | Quận 8 (7),TP. HCM (80)
shopee,70,D70.csv,Thị xã Thủ Dầu Một,Bình Dương,10,Thị xã Thủ Dầu Một (8) | Dĩ An (1) | Thuận An (1),Bình Dương (10)
shopee,71,D71.csv,Tp. Vũng Tàu,Vũng Tàu,1,Tp. Vũng Tàu (1),Vũng Tàu (1)
shopee,72,D72.csv,Tp. Vũng Tàu,Vũng Tàu,2,Tp. Vũng Tàu (2),Vũng Tàu (2)
shopee,73,D73.csv,Tp. Vũng Tàu,Vũng Tàu,1,Tp. Vũng Tàu (1),Vũng Tàu (1)
shopee,74,D74.csv,Tp. Vũng Tàu,Vũng Tàu,4,Tp. Vũng Tàu (3) | Tp. Bà Rịa (1),Vũng Tàu (4)
