RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
39,Cánh Đồng Quán - Lê Văn Việt,10.844819,106.779326,"136/10 Lê Văn Việt, P. Hiệp Phú, Quận 9, TP. HCM",,,,no,no,yes,30.000 -150.000,0.0,0.0,0.0,2.6,0.0
40,Trà Sữa ToCoToCo - 152 Nguyễn Phúc Nguyên,10.7805192,106.6795025,"152 Nguyễn Phúc Nguyên, P. 10, Quận 3, TP. HCM",,,,no,no,no,28.000 -89.000,6.7,6.7,6.9,2.9,0.0
40,Trà Sữa ToCoToCo - Nguyễn Tri Phương,10.762822,106.66842,"306 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",,,,no,no,yes,28.000 -89.000,6.2,0.0,6.6,2.9,0.0
40,TocoToco Bubble Tea - Cộng Hòa,10.801243,106.657279,"130 Cộng Hoà, P. 4, Quận Tân Bình, TP. HCM",,,,yes,no,yes,28.000 -59.000,6.0,0.0,6.9,2.9,0.0
40,Trà Sữa ToCoToCo - 392 Phan Huy Ích,10.84156,106.63841,"392 Phan Huy Ích, P. 14, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,20.000 -85.000,0.0,0.0,0.0,2.9,0.0
40,Trà Sữa ToCoToCo - Huỳnh Tấn Phát,10.711749,106.737614,"Tầng 2 Co.op Mart, 1362 Huỳnh Tấn Phát, P. Phú Mỹ, Quận 7, TP. HCM",,,,yes,no,yes,20.000 -85.000,0.0,0.0,6.7,2.9,0.0
40,Trà Sữa ToCoToCo - Nguyễn Sơn,10.7818654,106.6296483,"91 Nguyễn Sơn, Quận Tân Phú, TP. HCM",,,,yes,no,yes,29.000 -89.000,0.0,0.0,6.5,2.9,0.0
40,TocoToco Bubble Tea - Co.op Mart Huỳnh Tấn Phát,10.7128775994063,106.7369456961751,"Co.op Mart, 80/4A Huỳnh Tấn Phát, Quận 7, TP. HCM",,,,no,no,yes,30.000 -60.000,0.0,0.0,6.5,2.9,0.0
40,TocoToco Bubble Tea - Nguyễn Văn Đậu,10.809793,106.6897259,"160A Nguyễn Văn Đậu, P. 7, Quận Bình Thạnh, TP. HCM",,,,yes,no,yes,25.000 -70.000,7.6,7.5,7.7,2.9,0.0
40,Trà Sữa ToCoToCo - Quốc Hương,10.805373,106.731328,"51 Quốc Hương, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",,,,no,no,yes,20.000 -85.000,0.0,0.0,0.0,2.9,0.0
40,TocoToco Bubble Tea - Auchan,10.783949,106.665677,"Siêu Thị Auchan, 11 Trường Sơn, P. 15, Quận 10, TP. HCM",,,,yes,no,yes,35.000 -70.000,0.0,0.0,0.0,2.9,0.0
41,Mr. Nem - Nem Nướng Nha Trang & Bún Thịt Nướng - Cây Trâm,10.8437633,106.6498526,"400 Cây Trâm, P. 8, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,20.000 -35.000,7.7,7.7,7.3,2.9,0.0
